sample_id,haplotype,location,annotation_type,release,assembly_name,file_size
HG002,2,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG002-maternal.bed,ASat,1,N/A,N/A
HG002,1,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG002-paternal.bed,ASat,1,N/A,N/A
HG00438,2,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00438-maternal.bed,ASat,1,N/A,N/A
HG00438,1,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00438-paternal.bed,ASat,1,N/A,N/A
HG005,2,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG005-maternal.bed,ASat,1,N/A,N/A
HG005,1,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG005-paternal.bed,ASat,1,N/A,N/A
HG00621,2,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00621-maternal.bed,ASat,1,N/A,N/A
HG00621,1,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00621-paternal.bed,ASat,1,N/A,N/A
HG00673,2,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00673-maternal.bed,ASat,1,N/A,N/A
HG00673,1,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00673-paternal.bed,ASat,1,N/A,N/A
HG00733,2,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00733-maternal.bed,ASat,1,N/A,N/A
HG00733,1,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00733-paternal.bed,ASat,1,N/A,N/A
HG00735,2,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00735-maternal.bed,ASat,1,N/A,N/A
HG00735,1,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00735-paternal.bed,ASat,1,N/A,N/A
HG00741,2,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00741-maternal.bed,ASat,1,N/A,N/A
HG00741,1,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00741-paternal.bed,ASat,1,N/A,N/A
HG01071,2,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01071-maternal.bed,ASat,1,N/A,N/A
HG01071,1,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01071-paternal.bed,ASat,1,N/A,N/A
HG01106,2,s3://human-pangenomics/working/HPRC/HG01106/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01106-maternal.bed,ASat,1,N/A,N/A
HG01106,1,s3://human-pangenomics/working/HPRC/HG01106/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01106-paternal.bed,ASat,1,N/A,N/A
HG01109,2,s3://human-pangenomics/working/HPRC_PLUS/HG01109/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01109-maternal.bed,ASat,1,N/A,N/A
HG01109,1,s3://human-pangenomics/working/HPRC_PLUS/HG01109/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01109-paternal.bed,ASat,1,N/A,N/A
HG01123,2,s3://human-pangenomics/working/HPRC/HG01123/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01123-maternal.bed,ASat,1,N/A,N/A
HG01123,1,s3://human-pangenomics/working/HPRC/HG01123/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01123-paternal.bed,ASat,1,N/A,N/A
HG01175,2,s3://human-pangenomics/working/HPRC/HG01175/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01175-maternal.bed,ASat,1,N/A,N/A
HG01175,1,s3://human-pangenomics/working/HPRC/HG01175/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01175-paternal.bed,ASat,1,N/A,N/A
HG01243,2,s3://human-pangenomics/working/HPRC_PLUS/HG01243/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01243-maternal.bed,ASat,1,N/A,N/A
HG01243,1,s3://human-pangenomics/working/HPRC_PLUS/HG01243/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01243-paternal.bed,ASat,1,N/A,N/A
HG01258,2,s3://human-pangenomics/working/HPRC/HG01258/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01258-maternal.bed,ASat,1,N/A,N/A
HG01258,1,s3://human-pangenomics/working/HPRC/HG01258/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01258-paternal.bed,ASat,1,N/A,N/A
HG01358,2,s3://human-pangenomics/working/HPRC/HG01358/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01358-maternal.bed,ASat,1,N/A,N/A
HG01358,1,s3://human-pangenomics/working/HPRC/HG01358/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01358-paternal.bed,ASat,1,N/A,N/A
HG01361,2,s3://human-pangenomics/working/HPRC/HG01361/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01361-maternal.bed,ASat,1,N/A,N/A
HG01361,1,s3://human-pangenomics/working/HPRC/HG01361/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01361-paternal.bed,ASat,1,N/A,N/A
HG01891,2,s3://human-pangenomics/working/HPRC/HG01891/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01891-maternal.bed,ASat,1,N/A,N/A
HG01891,1,s3://human-pangenomics/working/HPRC/HG01891/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01891-paternal.bed,ASat,1,N/A,N/A
